UMAP_1,UMAP_2,Cluster
-4.0974617,13.712851,9
-3.7878947,13.400036,9
-4.15919,13.617215,9
-2.344464,12.397597,9
-3.3120408,13.111348,9
-2.4270341,11.854255,9
-3.249022,13.028866,9
-2.3352535,11.773677,9
-1.830665,10.907312,9
-3.1938567,12.972545,9
-1.5815947,10.609559,9
-3.4603624,12.713169,9
-3.3926907,11.466118,9
4.2854376,9.665691,6
-0.13450748,16.00216,2
4.750212,8.1744995,1
-5.0799994,13.345155,9
-5.242457,9.637971,7
3.8274658,13.873626,5
-2.82268,6.1417003,4
3.4113514,11.879093,7
-2.242855,3.3380413,4
4.5370097,12.06415,1
1.5674611,-1.0746406,3
6.6408796,9.947781,1
-5.3860035,13.509452,9
-5.3187695,13.76663,9
2.8176086,8.394582,4
-2.4200826,5.332459,4
-5.687791,14.896735,9
-5.1752715,14.423389,9
-5.2834945,14.6350565,9
-5.610884,14.788349,9
-2.9557414,14.389805,9
1.3748051,5.4004607,8
-2.859675,2.371522,4
-1.4516163,4.8037653,4
1.5581641,14.890949,9
4.810966,9.302983,1
4.4951434,10.198448,6
-5.1138773,12.2261915,9
-3.045608,3.77221,4
-1.7249696,7.097584,0
2.6797283,8.828466,6
-2.877242,7.4813495,0
1.9128908,9.025487,0
4.3306932,10.583494,6
-1.1318192,14.847854,2
-2.403061,5.178126,4
0.9253059,13.842692,5
-0.193096,4.0873113,4
-2.1399426,16.248833,2
-0.2751861,15.630581,2
-0.61099553,14.955658,2
5.3595824,11.1303215,1
-1.2108637,8.564499,0
-0.7004245,8.798415,0
0.8972361,9.655292,0
-3.0241284,8.909211,0
-2.3685617,8.84263,0
1.7572564,9.584829,6
-2.5205443,11.405409,9
-1.9276737,10.736594,0
-0.8029839,6.159248,1
-5.4749193,14.328189,9
-5.299917,14.008849,9
-5.432,13.816981,9
1.8771857,9.58726,6
-2.4167576,14.42964,9
-1.691487,10.848903,9
-1.1878549,15.6664295,2
-1.329681,15.768917,2
-5.253026,13.75377,9
3.5619786,8.758013,1
-3.4876325,10.651643,7
-0.5018089,8.610208,0
-1.5522282,7.993139,0
-1.7844234,5.42404,4
-0.42338616,5.2595944,4
-0.052392438,5.7817445,4
-0.008448281,6.115056,4
-1.4663981,7.6752934,0
-0.39676425,9.464674,0
1.5090452,4.7748547,4
3.0915697,9.893009,6
1.3310128,13.375437,5
3.2409267,15.128226,5
3.1079445,14.6941805,5
3.6577828,15.401367,5
2.3996024,13.63079,5
1.9730641,13.200773,5
-1.1300834,18.260485,2
4.0360007,13.363284,5
7.1310983,8.710618,1
-2.0261536,4.2850204,4
-1.565215,11.080503,9
-0.3310732,8.8990755,0
-1.544091,11.054592,9
-6.5187244,10.521314,7
1.574277,-0.87041324,3
1.302131,0.90422696,3
1.4513934,0.14138377,3
1.5612952,0.8789704,3
1.4257993,0.6160873,9
2.7046125,12.415751,5
1.6780295,-0.29903185,3
1.8929645,-0.6387329,3
1.9053475,-0.38313502,3
